Number,Combination,Count,Percentage_Count,Combination_Name,Allergen_Type
1,9,237,12.38,House dust mite,Aero
2,"9, 17",150,7.83,"House dust mite, Cockroach",Aero
3,"9, 17, 45",44,2.3,"House dust mite, Cockroach, Mould mite",Aero
4,"9, 45",36,1.88,"House dust mite, Mould mite",Aero
5,18,34,1.78,Prawns/Shrimp,Food
6,"8, 9",32,1.67,"Dog hair, House dust mite",Aero
7,"3, 9, 17",30,1.57,"Aspergillus fumigatus, House dust mite, Cockroach",Aero
8,"8, 9, 17",27,1.41,"Dog hair, House dust mite, Cockroach",Aero
9,"7, 8, 9, 17",25,1.31,"Cat, Dog hair, House dust mite, Cockroach",Aero
10,4,24,1.25,Beef,Food
11,5,23,1.2,Cows milk,Food
12,17,22,1.15,Cockroach,Aero
13,23,22,1.15,Wheat flour,Food
14,"7, 9, 17",21,1.1,"Cat, House dust mite, Cockroach",Aero
15,"9, 18",21,1.1,"House dust mite, Prawns/Shrimp",Aero/Food
16,10,20,1.04,Egg,Food
17,21,16,0.84,Tuna,Food
18,3,16,0.84,Aspergillus fumigatus,Aero
19,"3, 7, 8, 9, 17",16,0.84,"Aspergillus fumigatus, Cat, Dog hair, House dust mite, Cockroach",Aero
20,114,14,0.73,Gelatin,Food
21,24,14,0.73,Coconut,Food
22,"3, 7, 8, 9, 17, 119, 171",13,0.68,"Aspergillus fumigatus, Cat, Dog hair, House dust mite, Cockroach, Grass, Weed mix",Aero
23,"3, 8, 9, 17",13,0.68,"Aspergillus fumigatus, Dog hair, House dust mite, Cockroach",Aero
24,"3, 9",13,0.68,"Aspergillus fumigatus, House dust mite",Aero
25,"4, 15, 38, 114",13,0.68,"Beef, Pork, Mutton, Gelatin",Food
26,"7, 9",13,0.68,"Cat, House dust mite",Aero
27,"7, 8, 9",12,0.63,"Cat, Dog hair, House dust mite",Aero
28,"9, 17, 171",12,0.63,"House dust mite, Cockroach, Weed mix",Aero
29,45,11,0.57,Mould mite,Aero
30,"8, 9, 45",11,0.57,"Dog hair, House dust mite, Mould mite",Aero
31,200,960,50.13,Other,Aero/Food
